iter	Logloss
153	0.4444961892
154	0.4444253328
155	0.4444228303
156	0.4440394087
157	0.444013916
158	0.4438313776
159	0.4433033825
160	0.4428355251
161	0.4425789327
162	0.4425284927
163	0.4421084121
164	0.4419729675
165	0.4417615228
166	0.4410822249
167	0.441024463
168	0.440570797
169	0.4403686276
170	0.4401993085
171	0.4400854669
172	0.4398176518
173	0.4392728619
174	0.4390885396
175	0.4386314792
176	0.4381412416
177	0.4379105909
178	0.4378379229
179	0.4376614129
180	0.4374844429
181	0.4373067542
182	0.4370193286
183	0.4368275083
184	0.4366326883
185	0.4363827995
186	0.4362860368
187	0.4362443739
188	0.4359407139
189	0.4355841595
190	0.4353609301
191	0.434983222
192	0.4347322081
193	0.4341908298
194	0.4335952161
195	0.4329544606
196	0.4322386586
197	0.4318936112
198	0.4315883824
199	0.4311477654
200	0.4309250608
201	0.4307271938
202	0.4304212046
203	0.4301383465
204	0.4299267892
205	0.4297269141
206	0.4294541381
207	0.4290247288
208	0.428362431
209	0.4281501064
210	0.4279527807
211	0.4276325498
212	0.4275772782
213	0.4272117397
214	0.4269497094
215	0.4267745086
216	0.4265001736
217	0.4260368504
218	0.4257494655
219	0.4254672237
220	0.4250467007
221	0.4248135403
222	0.4243970857
223	0.4237547498
224	0.4233316691
225	0.423222335
226	0.4228055608
227	0.4223255329
228	0.4217703324
229	0.4214424162
230	0.4211388924
231	0.4207621731
232	0.4202569919
233	0.4200805523
234	0.4194853969
235	0.4191402807
236	0.4188130976
237	0.4185547726
238	0.4180462368
239	0.4179143249
240	0.4176338045
241	0.4175027041
242	0.417231161
243	0.4169353453
244	0.4164086204
245	0.4162230932
246	0.4159394598
247	0.415819114
248	0.4155997237
249	0.415219542
250	0.4150424534
251	0.414510302
252	0.4142427969
253	0.4140857499
254	0.4139747972
255	0.4138148951
256	0.4135507438
257	0.413436686
258	0.4132803515
259	0.4130033833
260	0.4126862957
261	0.4124225467
262	0.4122105129
263	0.4119069209
264	0.4117162018
265	0.4113873991
266	0.4110872012
267	0.4110827602
268	0.4110793731
269	0.4108052085
270	0.4103393451
271	0.4100145546
272	0.40976466
273	0.4095768199
274	0.4094785834
275	0.409218418
276	0.4089843798
277	0.4087198316
278	0.4083664127
279	0.408171177
280	0.407960503
281	0.4078105694
282	0.4075698719
283	0.4071682513
284	0.4068929335
285	0.4068449195
286	0.4065729551
287	0.4062919406
288	0.4061909013
289	0.406037083
290	0.4058486952
291	0.4055431011
292	0.4053786469
293	0.405201788
294	0.4048918347
295	0.4047825249
296	0.4045312421
297	0.4044108433
298	0.4041744628
299	0.404007978
300	0.4038139315
301	0.4035803844
302	0.403213536
303	0.4027309998
304	0.4025915582
305	0.4025036829
306	0.4022604258
307	0.4017202496
308	0.4016559563
309	0.4015007039
310	0.4013868662
311	0.4012954508
312	0.4011827161
313	0.4006823089
314	0.4006810893
315	0.4003497292
316	0.4000527712
317	0.3997272007
318	0.3995749816
319	0.3989637172
320	0.3988633777
321	0.3984575379
322	0.3983862469
323	0.3981507525
324	0.3978311497
325	0.3974080418
326	0.3974059979
327	0.39723969
328	0.3971444011
329	0.397140812
330	0.3968810588
331	0.3967238606
332	0.3961847491
333	0.3960212343
334	0.3957324433
335	0.3953029968
336	0.3951105441
337	0.3949938056
338	0.3947941684
339	0.3945704808
340	0.394323388
341	0.3939190401
342	0.3936246045
343	0.3936077253
344	0.3934083097
345	0.3928630781
346	0.392791664
347	0.392763191
348	0.3924947975
349	0.3921285336
350	0.3919902767
351	0.3917820985
352	0.3915414069
353	0.3913900919
354	0.3909786073
355	0.3909760535
356	0.3905534467
357	0.3904113535
358	0.3900387313
359	0.38976816
360	0.3894795487
361	0.3893993747
362	0.3892435095
363	0.3886856825
364	0.3885326894
365	0.3882544287
366	0.3881258086
367	0.3880213716
368	0.3876453071
369	0.3875359471
370	0.3873702747
371	0.3870747434
372	0.3869781918
373	0.3868695882
374	0.3867535554
375	0.3863792529
376	0.3860735643
377	0.3857966695
378	0.3854585639
379	0.3853444158
380	0.3851996112
381	0.3849217748
382	0.3848439593
383	0.3843798353
384	0.3839371661
385	0.3839350391
386	0.3838262063
387	0.383708322
388	0.383706379
389	0.3835983423
390	0.3834224363
391	0.383162531
392	0.3828421013
393	0.382825766
394	0.3825803792
395	0.3822313336
396	0.3820378405
397	0.3818032811
398	0.3812433793
399	0.3810659509
400	0.3809404212
401	0.3806397292
402	0.3804385897
403	0.3802220561
404	0.3799926594
405	0.3799105997
406	0.3795501489
407	0.3793223535
408	0.3789960763
409	0.3785533595
410	0.3785178184
411	0.3784064999
412	0.3780383346
413	0.3777690076
414	0.377455749
415	0.3773006212
416	0.3770177918
417	0.3767772833
418	0.3765966313
419	0.3763700184
420	0.3762455921
421	0.3761897775
422	0.3759102195
423	0.3756958403
424	0.3756721768
425	0.3753137434
426	0.3751697247
427	0.3746444194
428	0.374502156
429	0.3744556441
430	0.3744403401
431	0.3743662964
432	0.3742618159
433	0.3739846473
434	0.3736511391
435	0.3735633563
436	0.3732790662
437	0.3729880529
438	0.3725416899
439	0.3721762181
440	0.3719666145
441	0.3719401529
442	0.3715187335
443	0.3713165652
444	0.3711329106
445	0.3708916944
446	0.3706575797
447	0.3702238296
448	0.3700126556
449	0.3699184827
450	0.3699107501
451	0.3696843504
452	0.3693383704
453	0.369062315
454	0.3685763071
455	0.3684672385
456	0.3681544902
457	0.3680287474
458	0.3676313807
459	0.3674348413
460	0.367427694
461	0.3671270203
462	0.3671160731
463	0.3668823593
464	0.3665487712
465	0.3664023773
466	0.3660815179
467	0.365929871
468	0.3654847868
469	0.3652757918
470	0.3649233362
471	0.3647314311
472	0.3645760861
473	0.364453304
474	0.3642401966
475	0.3642396988
476	0.3642294668
477	0.3641188298
478	0.36411703
479	0.363909507
480	0.3635636672
481	0.3635006704
482	0.3633915977
483	0.363256242
484	0.3631075967
485	0.3629145655
486	0.3628280376
487	0.3627480252
488	0.3625053425
489	0.3623786686
490	0.3623719752
491	0.3621904552
492	0.3621798708
493	0.3619745624
494	0.3619192005
495	0.3618355518
496	0.3617848624
497	0.3614816975
498	0.3613472398
499	0.3611207976
500	0.3608628761
501	0.3606653127
502	0.3602354084
503	0.3599769279
504	0.3596978357
505	0.3593425232
506	0.3592347574
507	0.3592334987
508	0.3591372281
509	0.3589420697
510	0.3587091756
511	0.3586684235
512	0.3584771352
513	0.3583227619
514	0.3581992216
515	0.357968946
516	0.3577422808
517	0.3576318338
518	0.3573165011
519	0.3572033862
520	0.3570689084
521	0.3568724955
522	0.3567091921
523	0.3564746541
524	0.3564686174
525	0.3562590247
526	0.3561546329
527	0.3559219503
528	0.3556943891
529	0.3554541251
530	0.3553483194
531	0.3552310597
532	0.355142107
533	0.3550559269
534	0.3548792721
535	0.3548335219
536	0.3547044585
537	0.3545820275
538	0.3545120412
539	0.3544415852
540	0.3543218807
541	0.3540476667
542	0.3538552055
543	0.3537963872
544	0.3536785204
545	0.3535263201
546	0.3533288537
547	0.3530602252
548	0.3528795749
549	0.3526450676
550	0.3525061406
551	0.3523873581
552	0.3523180852
553	0.3520720295
554	0.3518695776
555	0.3516984483
556	0.351643811
557	0.3515953776
558	0.3514304414
559	0.3513843787
560	0.3512428344
561	0.3511064185
562	0.350872061
563	0.3508045343
564	0.3506358757
565	0.3505386965
566	0.3503018739
567	0.3501680261
568	0.3499952247
569	0.3498472779
570	0.3496814119
571	0.3494099068
572	0.3493200267
573	0.3490018922
574	0.3487485281
575	0.3484928848
576	0.348319357
577	0.3482507334
578	0.3482322519
579	0.3476982858
580	0.3472989401
581	0.3470527099
582	0.3469960151
583	0.3467959912
584	0.3464838001
585	0.3463742814
586	0.346269107
587	0.3461545761
588	0.3459464411
589	0.3455800284
590	0.3455354543
591	0.3454767204
592	0.3451156864
593	0.3448407692
594	0.3444354554
595	0.3440239462
596	0.3437338539
597	0.3434310802
598	0.3433195702
599	0.3430232381
600	0.342939562
601	0.3427975767
602	0.3426819424
603	0.3425751391
604	0.3423843145
605	0.3420391172
606	0.3418978404
607	0.3417927822
608	0.3416874543
609	0.3415734811
610	0.3413821175
611	0.3411238207
612	0.3409324382
613	0.3406971229
614	0.340516952
615	0.340480395
616	0.3402440541
617	0.3401477853
618	0.3399110358
619	0.3397358234
620	0.3396388109
621	0.3395379753
622	0.339402985
623	0.3393123732
624	0.3392523826
625	0.3389523437
626	0.3387344431
627	0.3386196901
628	0.3383358436
629	0.3382711587
630	0.3381684965
631	0.3380396296
632	0.3378696076
633	0.3377389398
634	0.3376857484
635	0.3374653765
636	0.3373607889
637	0.3373063183
638	0.3369573074
639	0.3367089883
640	0.3365776512
641	0.3364616694
642	0.3361398488
643	0.3360049305
644	0.3358179704
645	0.3357168725
646	0.3355760938
647	0.3354809729
648	0.3354200613
649	0.3353167239
650	0.3352041708
651	0.3350811472
652	0.3348743301
653	0.3348334031
654	0.334710289
655	0.3346226199
656	0.3343718425
657	0.3342293891
658	0.3339278425
659	0.3338040933
660	0.3336629691
661	0.3335802924
662	0.3333920987
663	0.3332748209
664	0.3332134356
665	0.3331221169
666	0.3329979133
667	0.3329189982
668	0.332641433
669	0.3324036456
670	0.3323049281
671	0.3321941948
672	0.3320680963
673	0.3320307457
674	0.3318716844
675	0.3317243295
676	0.3316680639
677	0.3315576124
678	0.3315242297
679	0.3313999077
680	0.3313064946
681	0.3310882587
682	0.3309599781
683	0.3308507734
684	0.3307750284
685	0.3304476298
686	0.3303982683
687	0.3301467004
688	0.3297778791
689	0.3296963561
690	0.3295147842
691	0.3294546782
692	0.3290883411
693	0.3290007638
694	0.3289233082
695	0.3288650563
696	0.3285223829
697	0.3283251352
698	0.328272203
699	0.3280574049
700	0.3278922011
701	0.3277952694
702	0.3276466846
703	0.3275180521
704	0.3273391347
705	0.3271738588
706	0.3269497409
707	0.3267880683
708	0.3266724301
709	0.3264312652
710	0.3262819304
711	0.3261382563
712	0.3259523557
713	0.3258589433
714	0.3258355886
715	0.3257176732
716	0.325489057
717	0.3254050604
718	0.3251090765
719	0.3250104216
720	0.3249533988
721	0.3248150283
722	0.3246222653
723	0.3243660889
724	0.3241337547
725	0.3240660175
726	0.3238217536
727	0.3236724046
728	0.3235523773
729	0.3234594078
730	0.3233453969
731	0.3231945326
732	0.3231307285
733	0.3230661747
734	0.3229099489
735	0.3228003466
736	0.3227134576
737	0.322465293
738	0.3223746406
739	0.3222684891
740	0.3222134759
741	0.3221104064
742	0.3217732342
743	0.3216426432
744	0.3214399414
745	0.3212881089
746	0.3210309954
747	0.3208641757
748	0.3207002792
749	0.320570026
750	0.3202965296
751	0.3202220738
752	0.3200662341
753	0.3198927308
754	0.3196355255
755	0.319418894
756	0.3193101622
757	0.31898555
758	0.3186998515
759	0.318621002
760	0.3186102466
761	0.3183267375
762	0.3181629352
763	0.3180600246
764	0.3179529177
765	0.3178766154
766	0.3178366831
767	0.3178171917
768	0.3177577584
769	0.3175303074
770	0.317396201
771	0.3172641822
772	0.3171336644
773	0.3168407302
774	0.3166987186
775	0.3166156912
776	0.3165279342
777	0.3164760908
778	0.3164323246
779	0.3164245902
780	0.3162877273
781	0.3160113132
782	0.3160019761
783	0.315936926
784	0.3158601695
785	0.3157437049
786	0.315655995
787	0.3154971232
788	0.3153880759
789	0.3152428267
790	0.3152035418
791	0.314789242
792	0.3145320918
793	0.3143229598
794	0.3142126098
795	0.3139921729
796	0.3139540315
797	0.3138563473
798	0.3136818809
799	0.3136546066
800	0.3135711109
801	0.3133243874
802	0.3132920416
803	0.3131353351
804	0.3129776957
805	0.3128640407
806	0.3127773384
807	0.3125690859
808	0.3124629015
809	0.3122595243
810	0.3121519253
811	0.3119557346
812	0.3116860663
813	0.3114593751
814	0.3112820018
815	0.3112252821
816	0.3110854118
817	0.3109646951
818	0.3108669486
819	0.310800419
820	0.3105879402
821	0.3104302869
822	0.3102995903
823	0.310249185
824	0.3102358441
825	0.310119505
826	0.3099643359
827	0.3097959541
828	0.3097413622
829	0.3096545266
830	0.3095316481
831	0.3093852263
832	0.3092827981
833	0.3092076189
834	0.3091210322
835	0.308984028
836	0.3086892352
837	0.3086324096
838	0.3084889692
839	0.3084030835
840	0.308286478
841	0.3081474933
842	0.3080758699
843	0.3080124809
844	0.3079433492
845	0.307832362
846	0.3078009754
847	0.3077092051
848	0.3074619775
849	0.3073958278
850	0.3072176327
851	0.3070969194
852	0.3070189937
853	0.3068790684
854	0.3068296786
855	0.306693842
856	0.3064743236
857	0.3063586141
858	0.3062133987
859	0.3059339936
860	0.3057760769
861	0.3056310296
862	0.3054225812
863	0.3053671401
864	0.3052849214
865	0.3052219709
866	0.305098419
867	0.3050419785
868	0.3048843851
869	0.304680227
870	0.304538257
871	0.3044217615
872	0.3043382647
873	0.3042398012
874	0.3040971559
875	0.3040320865
876	0.3039984119
877	0.303885199
878	0.3038536818
879	0.3037066647
880	0.3036122409
881	0.3034534741
882	0.3033465666
883	0.3032129537
884	0.3031368532
885	0.3030599403
886	0.3030175934
887	0.302921562
888	0.3027310369
889	0.3026059792
890	0.3024844013
891	0.3023851479
892	0.3021967736
893	0.3020649034
894	0.3019881159
895	0.3018458002
896	0.3017681779
897	0.3016652492
898	0.3014579737
899	0.3012717185
900	0.3011838002
901	0.3011145962
902	0.3010782534
903	0.3009477681
904	0.3008206657
905	0.300653756
906	0.3005281716
907	0.3003392277
908	0.3002075769
909	0.3000902651
910	0.2998574582
911	0.2996780293
912	0.2995517415
913	0.2993829121
914	0.2993046497
915	0.299179632
916	0.2990747204
917	0.2988899483
918	0.2987763027
919	0.2987650302
920	0.2987359739
921	0.2986069377
922	0.2985801892
923	0.2984402323
924	0.2983711758
925	0.2981475511
926	0.2980917114
927	0.2979640152
928	0.2978338721
929	0.2977080636
930	0.2975285754
931	0.2973839744
932	0.2972258054
933	0.2971319618
934	0.2970201257
935	0.2969302322
936	0.2968223558
937	0.2967126525
938	0.2966294771
939	0.2965633762
940	0.2963772467
941	0.2961969182
942	0.2961372776
943	0.2959120023
944	0.2956927307
945	0.295527662
946	0.2954463891
947	0.2952381354
948	0.2949472055
949	0.2948382286
950	0.2947416949
951	0.2946346581
952	0.2944624295
953	0.2943988864
954	0.2943721338
955	0.2943272798
956	0.2942826294
957	0.2941134691
958	0.2940400308
959	0.2939458507
960	0.2938367447
961	0.2938205894
962	0.2937104419
963	0.293493145
964	0.293439813
965	0.2934173792
966	0.2932617396
967	0.2931299853
968	0.2930963855
969	0.2928383049
970	0.2927101645
971	0.2925353086
972	0.2923922402
973	0.292218072
974	0.2920048431
975	0.2919460163
976	0.2918013943
977	0.2917321787
978	0.2916473311
979	0.2915532505
980	0.2914000995
981	0.2912594268
982	0.2911169378
983	0.2908629867
984	0.2906443041
985	0.2906114698
986	0.2904846505
987	0.2904250931
988	0.2903673391
989	0.2901366664
990	0.2899609362
991	0.2899039188
992	0.2898492032
993	0.2898116727
994	0.2897229701
995	0.2896116941
996	0.2895543893
997	0.2895405803
998	0.2894298231
999	0.2892548652
